"","TimeSeries","BroadcastTime","Transcript","TweetTime","Tweet","RTCount","IsRetweet","IsInfluenced"
"251",2018-02-01 04:10:00,"","","","","","",""
"252",2018-02-01 04:11:00,"","","","","","",""
"253",2018-02-01 04:12:00,"","","","","","",""
"254",2018-02-01 04:13:00,"","","","","","",""
"255",2018-02-01 04:14:00,"","","","","","",""
"256",2018-02-01 04:15:00,"","","","","","",""
"257",2018-02-01 04:16:00,"","","","","","",""
"258",2018-02-01 04:17:00,"","","","","","",""
"259",2018-02-01 04:18:00,"","","","","","",""
"260",2018-02-01 04:19:00,"","","","","","",""
"261",2018-02-01 04:20:00,"","","","","","",""
"262",2018-02-01 04:21:00,"","","","","","",""
"263",2018-02-01 04:22:00,"","","","","","",""
"264",2018-02-01 04:23:00,"","","","","","",""
"265",2018-02-01 04:24:00,"","","","","","",""
"266",2018-02-01 04:25:00,"","","","","","",""
"267",2018-02-01 04:26:00,"","","","","","",""
"268",2018-02-01 04:27:00,"","","","","","",""
"269",2018-02-01 04:28:00,"","","","","","",""
"270",2018-02-01 04:29:00,"","","","","","",""
"271",2018-02-01 04:30:00,"","","","","","",""
"272",2018-02-01 04:31:00,"","","","","","",""
"273",2018-02-01 04:32:00,"","","","","","",""
"274",2018-02-01 04:33:00,"","","","","","",""
"275",2018-02-01 04:34:00,"","","","","","",""
"276",2018-02-01 04:35:00,"","","","","","",""
"277",2018-02-01 04:36:00,"","","","","","",""
"278",2018-02-01 04:37:00,"","","","","","",""
"279",2018-02-01 04:38:00,"","","","","","",""
"280",2018-02-01 04:39:00,"","","","","","",""
"281",2018-02-01 04:40:00,"","","","","","",""
"282",2018-02-01 04:41:00,"","","","","","",""
"283",2018-02-01 04:42:00,"","","","","","",""
"284",2018-02-01 04:43:00,"","","","","","",""
"285",2018-02-01 04:44:00,"","","","","","",""
"286",2018-02-01 04:45:00,"","","","","","",""
"287",2018-02-01 04:46:00,"","","","","","",""
"288",2018-02-01 04:47:00,"","","","","","",""
"289",2018-02-01 04:48:00,"","","","","","",""
"290",2018-02-01 04:49:00,"","","","","","",""
"291",2018-02-01 04:50:00,"","","","","","",""
"292",2018-02-01 04:51:00,"","","","","","",""
"293",2018-02-01 04:52:00,"","","","","","",""
"294",2018-02-01 04:53:00,"","","","","","",""
"295",2018-02-01 04:54:00,"","","","","","",""
"296",2018-02-01 04:55:00,"","","","","","",""
"297",2018-02-01 04:56:00,"","","","","","",""
"298",2018-02-01 04:57:00,"","","","","","",""
"299",2018-02-01 04:58:00,"","","","","","",""
"300",2018-02-01 04:59:00,"","","","","","",""
